timestamp,event_id,message,source,semantic_outlier_score,semantic_severity_score,cluster_id,semantic_category,pca_x,pca_y
2026-02-17 22:39:58,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'MicrosoftAccount:user=02bfnkvonznliqpb', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.61545175,0.0,1,Authentication,0.054767907,-0.12142934
2026-02-17 22:39:58,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'MicrosoftAccount:user=02bfnkvonznliqpb', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.61545175,0.0,1,Authentication,0.054767907,-0.12142934
2026-02-17 22:39:57,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'MicrosoftAccount:user=02bfnkvonznliqpb', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.61545175,0.0,1,Authentication,0.054767907,-0.12142934
2026-02-17 22:39:58,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'MicrosoftAccount:user=02bfnkvonznliqpb', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.61545175,0.0,1,Authentication,0.054767907,-0.12142934
2026-02-17 22:39:58,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'MicrosoftAccount:user=02bfnkvonznliqpb', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.61545175,0.0,1,Authentication,0.054767907,-0.12142934
2026-02-17 22:44:40,4798,"('DefaultAccount', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-503', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '0x5ce0', 'C:\\Windows\\System32\\taskhostw.exe')",windows,0.6019554,0.49133566,5,File Access,0.47149488,0.12070271
2026-02-17 22:44:40,4798,"('Guest', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-501', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '0x5ce0', 'C:\\Windows\\System32\\taskhostw.exe')",windows,0.55856276,0.8638993,6,File Access,0.45670313,0.08639325
2026-02-17 22:44:40,4798,"('Administrator', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-500', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '0x5ce0', 'C:\\Windows\\System32\\taskhostw.exe')",windows,0.5576167,0.6024524,3,File Access,0.49214697,0.13351521
2026-02-17 22:44:36,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'WindowsLive:(token):name=02alhbsxdenopyhz;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.52902806,0.27569345,2,Privilege,0.21703772,0.45796537
2026-02-17 22:30:52,5061,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'Microsoft Software Key Storage Provider', 'AES', 'Google Chromekey1', '%%2500', '%%2480', '0x0')",windows,0.5128162,0.48608178,4,Authentication,0.13737485,0.13252296
2026-02-17 22:39:57,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'WindowsLive:(token):name=02bfnkvonznliqpb;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.509082,0.24877915,2,Authentication,0.20189121,0.44089648
2026-02-17 22:39:57,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'WindowsLive:(token):name=02bfnkvonznliqpb;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.509082,0.24877915,2,Authentication,0.20189121,0.44089648
2026-02-17 22:44:36,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'WindowsLive:(cert):name=02alhbsxdenopyhz;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.49361116,0.363783,8,Authentication,0.20343061,0.4504364
2026-02-17 22:39:57,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'WindowsLive:(cert):name=02bfnkvonznliqpb;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.48673975,0.3307256,8,Authentication,0.18937565,0.42833155
2026-02-17 22:39:57,5379,"('S-1-5-20', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e4', 'WindowsLive:(cert):name=02bfnkvonznliqpb;serviceuri=*', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.48673975,0.3307256,8,Authentication,0.18937565,0.42833155
